Проект;Категория;Год;КП;IMDB;Средний балл КП;Средний балл IMDB;Сборы
-;-;-;-;-;0;0;-
-;-;-;-;-;0;0;-
-;-;-;-;-;0;0;-
-;-;-;-;-;0;0;-
-;-;-;-;-;0;0;-
-;-;-;-;-;0;0;-
-;-;-;-;-;0;0;-
-;-;-;-;-;0;0;-
-;-;-;-;-;0;0;-
-;-;-;-;-;0;0;-
-;-;-;-;-;0;0;-
-;-;-;-;-;0;0;-
-;-;-;-;-;0;0;-
Полное затмение;Фильм;1995;7.3;6.5;7.3;6.5;$340 139
Ромео + Джульетта;Фильм;1996;7.3;6.7;7.3;6.6;$147 554 998
Комната Марвина;Фильм;1996;7.2;6.7;7.3;6.6;$12 803 305
Титаник;Фильм;1997;8.4;7.9;7.6;6.9;$2 264 577 439
Человек в железной маске;Фильм;1998;7.3;6.5;7.5;6.9;$182 968 902
Знаменитость;Фильм;1998;6.8;6.3;7.4;6.8;$5 078 660
Пляж;Фильм;2000;7.4;6.6;7.4;6.7;$144 056 873
Кафе «Донс Плам»;Фильм;2000;6.6;5.6;7.3;6.6;$41 939
Банды Нью-Йорка;Фильм;2002;7.7;7.5;7.3;6.7;$193 772 504
Поймай меня, если сможешь;Фильм;2002;8.5;8.1;7.5;6.8;$352 114 312
Авиатор;Фильм;2004;7.6;7.5;7.5;6.9;$213 719 942
Отступники;Фильм;2006;8.5;8.5;7.5;7.0;$291 480 452
Кровавый алмаз;Фильм;2006;7.8;8.0;7.6;7.1;$171 720 398
Совокупность лжи;Фильм;2008;7.2;7.0;7.5;7.1;$115 900 897
Дорога перемен;Фильм;2008;7.5;7.3;7.5;7.1;$75 981 180
Остров проклятых;Фильм;2009;8.5;8.2;7.6;7.2;$294 805 697
Начало;Фильм;2010;8.7;8.8;7.7;7.3;$829 899 072
Дж. Эдгар;Фильм;2011;6.7;6.5;7.6;7.2;$84 920 539
Джанго освобожденный;Фильм;2012;8.2;8.4;7.6;7.3;$426 074 373
Великий Гэтсби;Фильм;2013;7.9;7.2;7.7;7.3;$353 659 851
Волк с Уолл-стрит;Фильм;2013;8.0;8.2;7.7;7.3;$392 000 694
Выживший;Фильм;2015;7.8;8.0;7.7;7.4;$532 950 503
Однажды в… Голливуде;Фильм;2019;7.7;7.6;7.7;7.4;$377 617 598
Не смотрите наверх;Фильм;2021;7.5;7.2;7.7;7.4;$791 863
Убийцы цветочной луны;Фильм;2023;—;—;7.7;7.4;-
Рузвельт;Фильм;2023;—;—;7.7;7.4;-
Наследие секретности;Фильм;-;—;—;7.7;7.4;-
Тёмные дела на Норт-Гэнсон-стрит;Фильм;-;—;—;7.7;7.4;-
Чёрная рука;Фильм;-;—;—;7.7;7.4;-
Джим Джонс;Фильм;-;—;—;7.7;7.4;-
The Wager: A Tale of Shipwreck, Mutiny, and Murder;Фильм;-;—;—;7.7;7.4;-
""
Средний балл КП: ;7.7
Средний балл IMDB: ;7.4
